SELECTION SORT
Line[503]: 00:004 sec/mil
Line[504]: 00:004 sec/mil
Line[505]: 00:004 sec/mil
Line[506]: 00:005 sec/mil
Line[507]: 00:004 sec/mil
Line[508]: 00:000 sec/mil
Line[509]: 00:000 sec/mil
Line[510]: 00:000 sec/mil
Line[511]: 00:000 sec/mil
Order Time: 02:294 sec/mil
Total Time: 03:425 sec/mil
